t,f0
0.000,0.00000000000000
0.005,0.00000000000000
0.010,0.00000000000000
0.015,0.00000000000000
0.020,0.00000000000000
0.025,0.00000000000000
0.030,0.00000000000000
0.035,0.00000000000000
0.040,0.00000000000000
0.045,0.00000000000000
0.050,0.00000000000000
0.055,0.00000000000000
0.060,0.00000000000000
0.065,0.00000000000000
0.070,0.00000000000000
0.075,0.00000000000000
0.080,0.00000000000000
0.085,0.00000000000000
0.090,0.00000000000000
0.095,0.00000000000000
0.100,0.00000000000000
0.105,0.00000000000000
0.110,107.74922092558798
0.115,107.55309835901102
0.120,106.80959960632624
0.125,109.74458149608910
0.130,107.92504877535234
0.135,100.43328387478810
0.140,100.71197417138792
0.145,107.39409771161517
0.150,107.93054147570322
0.155,106.45888221990279
0.160,106.97677284887288
0.165,108.95564749206628
0.170,110.09560703624526
0.175,112.48239219377348
0.180,114.37315814695937
0.185,117.30284528821198
0.190,121.11148123386801
0.195,124.09354822590772
0.200,129.48158497535093
0.205,130.17673763233313
0.210,130.84543068241493
0.215,133.36288454999061
0.220,135.90487815086601
0.225,138.37446663821189
0.230,137.82467037947242
0.235,140.55381549317298
0.240,142.00562160608544
0.245,142.41951590855828
0.250,144.75202318552820
0.255,147.15443838835009
0.260,145.49790768272072
0.265,146.42143288151590
0.270,145.52358064221877
0.275,145.52077697975787
0.280,144.81423222710922
0.285,143.97923972900455
0.290,143.63521638975928
0.295,142.77969325480041
0.300,142.03572550302232
0.305,142.33437378072620
0.310,142.59191575348797
0.315,142.50300815280667
0.320,142.59650004560419
0.325,143.21814642539562
0.330,143.48390544531281
0.335,143.58882408950691
0.340,143.66694504157945
0.345,143.20264695996727
0.350,142.19634927957489
0.355,141.08463724284269
0.360,140.04165112166248
0.365,139.26704132121111
0.370,138.54392010743996
0.375,137.52542769112179
0.380,136.80124513959311
0.385,135.92453437817991
0.390,135.39592067772662
0.395,135.11532309574119
0.400,134.77655487485578
0.405,134.33439238268136
0.410,134.14248473317576
0.415,133.79816073244098
0.420,133.51308132174174
0.425,133.16557014291419
0.430,132.81293862374309
0.435,132.00064785486609
0.440,131.09002973020191
0.445,129.88719532705070
0.450,128.16035263561295
0.455,126.83574913267954
0.460,125.25976556037398
0.465,123.79391864357261
0.470,122.61103381647527
0.475,120.15224148722845
0.480,118.27892620991295
0.485,115.81234708748711
0.490,114.49774473808051
0.495,113.32562398545032
0.500,111.36757238648663
0.505,109.60828407449354
0.510,106.72281458736407
0.515,105.35322981236821
0.520,104.21117612622729
0.525,102.94508756852093
0.530,100.44673089570627
0.535,99.64396120621166
0.540,96.22626774860939
0.545,95.33425650193122
0.550,94.75710994995561
0.555,94.31249251815110
0.560,92.81059625335843
0.565,91.79227165873449
0.570,91.42564462911082
0.575,90.11558424766720
0.580,89.19414487637697
0.585,88.17396700859345
0.590,87.52483574287477
0.595,87.11144372114839
0.600,86.74405613202279
0.605,85.62514524782989
0.610,84.82758323076405
0.615,83.99460838438877
0.620,82.88647029426151
0.625,82.07928266207536
0.630,81.30538653087227
0.635,81.02853263373159
0.640,80.64797814208758
0.645,80.20661051531521
0.650,79.61195470216640
0.655,78.83760568343200
0.660,78.37046011077295
0.665,77.44653087549683
0.670,76.31787724211227
0.675,75.67966229662906
0.680,72.88405343405525
0.685,71.41563630962585
0.690,81.31566651623032
0.695,87.88825709729699
0.700,95.20995775503269
0.705,96.28265084350136
0.710,85.85748906392938
0.715,81.33182572547757
0.720,0.00000000000000
0.725,0.00000000000000
0.730,0.00000000000000
0.735,0.00000000000000
0.740,0.00000000000000
0.745,0.00000000000000
0.750,0.00000000000000
0.755,0.00000000000000
0.760,0.00000000000000
0.765,0.00000000000000
0.770,0.00000000000000
0.775,0.00000000000000
0.780,0.00000000000000
0.785,0.00000000000000
0.790,0.00000000000000
